3.625857,1.272047,FOLLOW,FORWARD
3.633649,1.270234,FOLLOW,FORWARD
3.641441,1.268422,FOLLOW,FORWARD
3.649233,1.266609,FOLLOW,FORWARD
3.657025,1.264796,FOLLOW,FORWARD
3.664817,1.262984,FOLLOW,FORWARD
3.672609,1.261171,FOLLOW,FORWARD
3.680401,1.259358,FOLLOW,FORWARD
3.688193,1.257546,FOLLOW,FORWARD
3.695984,1.255733,FOLLOW,FORWARD
3.703776,1.253920,FOLLOW,FORWARD
3.711568,1.252107,FOLLOW,FORWARD
3.719360,1.250295,FOLLOW,FORWARD
3.727152,1.248482,FOLLOW,FORWARD
3.734944,1.246669,FOLLOW,FORWARD
3.742736,1.244857,FOLLOW,FORWARD
3.750528,1.243044,FOLLOW,FORWARD
3.758320,1.241231,FOLLOW,FORWARD
3.766112,1.239419,FOLLOW,FORWARD
3.773904,1.237606,FOLLOW,FORWARD
3.781696,1.235793,FOLLOW,FORWARD
3.789488,1.233981,FOLLOW,FORWARD
3.797280,1.232168,FOLLOW,FORWARD
3.805071,1.230355,FOLLOW,FORWARD
3.812863,1.228542,FOLLOW,FORWARD
3.820655,1.226730,FOLLOW,FORWARD
3.828447,1.224917,FOLLOW,FORWARD
3.836239,1.223104,FOLLOW,FORWARD
3.844031,1.221292,FOLLOW,FORWARD
3.851823,1.219479,FOLLOW,FORWARD
3.859615,1.217666,FOLLOW,FORWARD
3.867407,1.215854,FOLLOW,FORWARD
3.875199,1.214041,FOLLOW,FORWARD
3.882991,1.212228,FOLLOW,FORWARD
3.890783,1.210416,FOLLOW,FORWARD
3.898575,1.208603,FOLLOW,FORWARD
3.906367,1.206790,FOLLOW,FORWARD
3.914158,1.204977,FOLLOW,FORWARD
3.921950,1.203165,FOLLOW,FORWARD
3.929742,1.201352,FOLLOW,FORWARD
3.937534,1.199539,FOLLOW,FORWARD
3.945326,1.197727,FOLLOW,FORWARD
3.953118,1.195914,FOLLOW,FORWARD
3.960910,1.194101,FOLLOW,FORWARD
3.968702,1.192289,FOLLOW,FORWARD
3.976494,1.190476,FOLLOW,FORWARD
3.984286,1.188663,FOLLOW,FORWARD
3.992078,1.186851,FOLLOW,FORWARD
3.999870,1.185038,FOLLOW,FORWARD
4.007662,1.183225,FOLLOW,FORWARD
4.015454,1.181413,FOLLOW,FORWARD
4.023245,1.179600,FOLLOW,FORWARD
4.031037,1.177787,FOLLOW,FORWARD
4.038829,1.175974,FOLLOW,FORWARD
4.046621,1.174162,FOLLOW,FORWARD
4.054413,1.172349,FOLLOW,FORWARD
4.062205,1.170536,FOLLOW,FORWARD
4.069997,1.168724,FOLLOW,FORWARD
4.077789,1.166911,FOLLOW,FORWARD
4.085581,1.165098,FOLLOW,FORWARD
4.093373,1.163286,FOLLOW,FORWARD
4.101165,1.161473,FOLLOW,FORWARD
4.108957,1.159660,FOLLOW,FORWARD
4.116749,1.157848,FOLLOW,FORWARD
4.124541,1.156035,FOLLOW,FORWARD
4.132332,1.154222,FOLLOW,FORWARD
4.140124,1.152409,FOLLOW,FORWARD
4.147916,1.150597,FOLLOW,FORWARD
4.155708,1.148784,FOLLOW,FORWARD
4.163500,1.146971,FOLLOW,FORWARD
4.171292,1.145159,FOLLOW,FORWARD
4.179084,1.143346,FOLLOW,FORWARD
4.186876,1.141533,FOLLOW,FORWARD
4.194668,1.139721,FOLLOW,FORWARD
4.202460,1.137908,FOLLOW,FORWARD
4.210252,1.136095,FOLLOW,FORWARD
4.218044,1.134283,FOLLOW,FORWARD
4.225836,1.132470,FOLLOW,FORWARD
4.233628,1.130657,FOLLOW,FORWARD
4.241419,1.128844,FOLLOW,FORWARD
4.249211,1.127032,FOLLOW,FORWARD
4.257003,1.125219,FOLLOW,FORWARD
4.264795,1.123406,FOLLOW,FORWARD
4.272587,1.121594,FOLLOW,FORWARD
4.280379,1.119781,FOLLOW,FORWARD
4.288171,1.117968,FOLLOW,FORWARD
4.295963,1.116156,FOLLOW,FORWARD
4.303755,1.114343,FOLLOW,FORWARD
4.311547,1.112530,FOLLOW,FORWARD
4.319339,1.110718,FOLLOW,FORWARD
4.327131,1.108905,FOLLOW,FORWARD
4.334923,1.107092,FOLLOW,FORWARD
4.342715,1.105279,FOLLOW,FORWARD
4.350507,1.103467,FOLLOW,FORWARD
4.358298,1.101654,FOLLOW,FORWARD
4.366090,1.099841,FOLLOW,FORWARD
4.373882,1.098029,FOLLOW,FORWARD
