1.266078,0.746684,TARGET_FOLLOW,FOLLOW
1.268176,0.735818,OBSTACLE_AND_TARGET_DETECTED,AVOID
1.268997,0.728475,TARGET_FOLLOW,FOLLOW
1.274747,0.720101,TARGET_FOLLOW,FOLLOW
1.279669,0.710834,TARGET_FOLLOW,FOLLOW
1.282833,0.700354,OBSTACLE_AND_TARGET_DETECTED,AVOID
1.284089,0.693029,TARGET_FOLLOW,FOLLOW
1.291068,0.683913,TARGET_FOLLOW,FOLLOW
1.296988,0.673659,TARGET_FOLLOW,FOLLOW
1.300819,0.662081,OBSTACLE_AND_TARGET_DETECTED,AVOID
1.302239,0.654720,TARGET_FOLLOW,FOLLOW
1.309979,0.645014,TARGET_FOLLOW,FOLLOW
1.318403,0.635259,TARGET_FOLLOW,FOLLOW
1.326092,0.625334,TARGET_FOLLOW,FOLLOW
1.333007,0.615529,TARGET_FOLLOW,FOLLOW
1.339489,0.605719,TARGET_FOLLOW,FOLLOW
1.345721,0.595903,TARGET_FOLLOW,FOLLOW
1.351771,0.586139,TARGET_FOLLOW,FOLLOW
1.357658,0.576482,TARGET_FOLLOW,FOLLOW
1.363287,0.567126,TARGET_FOLLOW,FOLLOW
1.368764,0.557922,TARGET_FOLLOW,FOLLOW
1.374149,0.548823,TARGET_FOLLOW,FOLLOW
1.379460,0.539833,TARGET_FOLLOW,FOLLOW
1.384691,0.530965,TARGET_FOLLOW,FOLLOW
1.389831,0.522229,TARGET_FOLLOW,FOLLOW
1.394813,0.513721,TARGET_FOLLOW,FOLLOW
1.399687,0.505347,TARGET_FOLLOW,FOLLOW
1.404504,0.497055,TARGET_FOLLOW,FOLLOW
1.409289,0.488823,TARGET_FOLLOW,FOLLOW
1.413979,0.480759,TARGET_FOLLOW,FOLLOW
1.418512,0.472959,TARGET_FOLLOW,FOLLOW
1.422926,0.465324,TARGET_FOLLOW,FOLLOW
1.427270,0.457758,TARGET_FOLLOW,FOLLOW
1.431540,0.450311,TARGET_FOLLOW,FOLLOW
